Repositorio;Branch;Link
OAM_AccessControlV2;SDNXXXXX_feature_redirect_on_logout;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/OAM_AccessControlV2?_a=contents&version=GBSDNXXXXX_feature_redirect_on_logout
OAM_AccessControlV2;WEB0237;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/OAM_AccessControlV2?_a=contents&version=GBWEB0237
OAM_AccessControlV2;WEB0336_feature_remover_iframe;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/OAM_AccessControlV2?_a=contents&version=GBWEB0336_feature_remover_iframe
OAM_AccessControlV2;development;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/OAM_AccessControlV2?_a=contents&version=GBdevelopment
OAM_AccessControlV2;feature_workManager;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/OAM_AccessControlV2?_a=contents&version=GBfeature_workManager
OAM_AccessControlV2;fqa;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/OAM_AccessControlV2?_a=contents&version=GBfqa
OAM_AccessControlV2;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/OAM_AccessControlV2?_a=contents&version=GBmaster
MeuTIM_pweb-portlet-meuAparelho;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/MeuTIM_pweb-portlet-meuAparelho?_a=contents&version=GBmaster
TIM_Components_nakedSim;DEV_Integracao;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/TIM_Components_nakedSim?_a=contents&version=GBDEV_Integracao
TIM_Components_nakedSim;FQA_Integracao;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/TIM_Components_nakedSim?_a=contents&version=GBFQA_Integracao
TIM_Components_nakedSim;TIR338673;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/TIM_Components_nakedSim?_a=contents&version=GBTIR338673
TIM_Components_nakedSim;WEB0178_2;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/TIM_Components_nakedSim?_a=contents&version=GBWEB0178_2
TIM_Components_nakedSim;WEB0187;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/TIM_Components_nakedSim?_a=contents&version=GBWEB0187
TIM_Components_nakedSim;WEB0204;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/TIM_Components_nakedSim?_a=contents&version=GBWEB0204
TIM_Components_nakedSim;WEB0205;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/TIM_Components_nakedSim?_a=contents&version=GBWEB0205
TIM_Components_nakedSim;WEB0206;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/TIM_Components_nakedSim?_a=contents&version=GBWEB0206
TIM_Components_nakedSim;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/TIM_Components_nakedSim?_a=contents&version=GBmaster
poc-api-gateway-config-server;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/poc-api-gateway-config-server?_a=contents&version=GBmaster
OAM_WebappResetSenha;WEB0049;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/OAM_WebappResetSenha?_a=contents&version=GBWEB0049
OAM_WebappResetSenha;WEB0301_feature_captivelayout;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/OAM_WebappResetSenha?_a=contents&version=GBWEB0301_feature_captivelayout
